"gene","log2FC_GU","P_GU","log2FC_TU","P_TU","concordant","FDR_GU","FDR_TU"
"APOL1",0.843035945797816,0.000227093903524532,0.508472554047444,0.0108491290622728,TRUE,0.00845924790628881,0.0557420769061602
"B2M",-0.673380926373522,0.000565760971588473,-0.598332537020042,0.000791201668854772,TRUE,0.010602529572008,0.0235778097318722
"FCGBP",-0.736503553166401,0.000464575982714365,-0.679829543914408,0.0412914458530738,TRUE,0.010602529572008,0.131460888753483
"IGLC6",-0.966408548349534,0.00172637627343337,-0.28835993804455,0.477142511304603,TRUE,0.0218879471032157,0.602493510037169
"COMP",-0.747665759352238,0.00210044668369923,-0.630523963551145,0.0857834632634009,TRUE,0.022354753990799,0.199714625410105
"VCAM1",-0.535865081769341,0.0265951713760788,-1.15916131439732,0.000237962775950303,TRUE,0.0988132383379415,0.0226024674150258
"ADIPOQ",-0.859105099985541,0.0637329079311814,-1.15566652527695,0.00109246742823103,TRUE,0.179173646825397,0.0248362800519769
"LYVE1",-0.543279427975413,0.033788117338232,-0.96656033851923,0.00150784089182347,TRUE,0.114418851895376,0.0248362800519769
"EFEMP1",-0.516880271151873,0.00362236830515803,-0.736071260237388,0.00614899539037042,TRUE,0.0270993113192356,0.0538941360685407
"APOC2",0.650932860826057,0.0346575328926386,1.07950526452769,0.00265755941140018,TRUE,0.114754942244514,0.0278303343226359
"IGLC1",-0.783030118550514,0.00634637922850854,-0.758826357927386,0.0691372424003844,TRUE,0.0350226112980657,0.166152405123504
"APOC3",0.815929947180727,0.0078875035307865,0.854054537890519,0.0289345719351735,TRUE,0.041972786645971,0.110544903034381
"TF",0.784008221431975,0.0109103243572476,0.520549979539457,0.254765018891138,TRUE,0.0524399461041899,0.395416539737287
"IGHA1",-0.985027655874685,0.0116453584125986,-1.1399413685111,0.0960681906438415,TRUE,0.0542237001086621,0.207451600085977
"IGKC",-0.7189244279317,0.016113637336213,-0.723183859807985,0.0999003812602859,TRUE,0.0706156459734042,0.212645097254037
"CRP",-1.00166320415898,0.0173568054440991,-1.32062302555007,0.0155754448436909,TRUE,0.0719846830944563,0.0725231650534359
