"gene","VIP"
"LRG1",2.08332747551292
"ORM1",1.98226368363425
"B2M",1.8424169301324
"SERPING1",1.68684502302918
"ORM2",1.67514258898589
"SERPINA3",1.61381122895239
"CLU",1.56484093185804
"PGLYRP2",1.56047942998526
"C9",1.49298145119245
"APOL1",1.45925905709656
"A2M",1.4416480310133
"ITIH1",1.43285096098297
"AMBP",1.42809767590324
"VCAM1",1.40518710521372
"ATRN",1.39844521218009
"LUM",1.37368966360675
"F13B",1.37169855317321
"TTR",1.34151499286144
"FCN3",1.33971080065171
"LYVE1",1.33446497209874
"ITIH2",1.3254020335386
"PTGDS",1.29849269693848
"CFB",1.26580366469551
"SERPIND1",1.25768234047114
"C4B",1.25615170870186
"EFEMP1",1.25394032283852
"GPLD1",1.23008832702035
"GPX3",1.22571550256549
"F2",1.21122122673422
"FCGBP",1.20467994574074
"CD5L",1.18961153947694
"VASN",1.18181827680433
"QSOX1",1.16201933281898
"VWF",1.15769407173833
"LBP",1.14370924190412
"C7",1.1374976616142
"ADIPOQ",1.13642513138004
"CD163",1.12247818032028
"CSF1R",1.12096881185463
"KLKB1",1.11836976290351
"APOC3",1.11591094283218
"CFH",1.1154296446984
"GC",1.11425667848511
"CFD",1.11311004407329
"MASP1",1.11225874387929
"HBB",1.10861735197975
"COMP",1.10798576812174
"CD44",1.10409687033433
"IGJ",1.099936061369
"LGALS3BP",1.09410693990882
"A1BG",1.08907757823194
"HPX",1.08365788180953
"ICAM1",1.08217312229521
"APOC2",1.08074257539326
"PON1",1.07151643222822
"ICAM2",1.0712192899993
"VTN",1.06923629012036
"HBA1",1.06567227914508
"GSN",1.06497897564187
"KNG1",1.05922151896947
"PLG",1.05565779822863
"SERPINA4",1.04783909841889
"PLTP",1.03988373441814
"LYZ",1.03452292636965
"IGLC1",1.0235635269045
"MCAM",1.01627578524105
"C3",1.01238373623204
"F12",1.00965147675052
"ECM1",1.00897656639761
"SELL",1.00811476699499
"APOM",1.00727451044953
"FN1",1.00574641844605
"FBLN1",0.998404030065834
"APOA2",0.994924514200121
"CRP",0.983691071437041
"SAA4",0.979444214663317
"APOA4",0.976241770439043
"IGKC",0.969763966243363
"CD14",0.958903839519651
"CFP",0.955404017882229
"SERPINA7",0.953530562500002
"PI16",0.949347756316239
"AFM",0.940639172673179
"C8B",0.940550623001495
"C4A",0.939129683757505
"CLEC3B",0.938376281353025
"IGHA1",0.938056014353642
"APOC1",0.934041672520746
"CFI",0.933488911807873
"RBP4",0.931348741774133
"IGHM",0.927496015529061
"SERPINC1",0.925822376469316
"CA1",0.919742123102984
"IGHG1",0.913847930766271
"ITIH3",0.902509057245687
"IGLC6",0.901853338294222
"APOE",0.861559992567685
"FGA",0.856912060133146
"SERPINA10",0.85530620810938
"HABP2",0.846981535419334
"C1R",0.824663888160593
"IGFALS",0.823239438036365
"TF",0.821958186122814
"IGHG3",0.821093284284609
"LCAT",0.808438289875067
"BCHE",0.806546867192073
"C4BPA",0.800708728794798
"BTD",0.788585655489495
"F9",0.77974102977257
"C8G",0.761396318580232
"SERPINF2",0.758795501413665
"CHL1",0.746753048106294
"PROS1",0.739226709700126
"CPN2",0.724179126030191
"FCGR3B",0.716632968649377
"C8A",0.714660828886095
"SAA1",0.712369450226806
"C1QC",0.69332401633128
"PROC",0.690459195675533
"HP",0.688254547639604
"SHBG",0.676357453292972
"THBS4",0.673515794472699
"SERPINF1",0.672971781554211
"APOH",0.670664102878832
"ITIH4",0.666625278474314
"CP",0.66125878979419
"NCAM1",0.65356216956343
"FGG",0.652714847182454
"C1S",0.649316615208957
"C6",0.643668523322132
"APCS",0.643239291525483
"CPN1",0.64208416823241
"C1QA",0.640818652319832
"CST3",0.627455525427346
"FETUB",0.624103840714602
"C1QB",0.606537245686493
"FGB",0.603120594956223
"CPB2",0.58545475358285
"PVR",0.572689221805388
"PPBP",0.564556298532926
"C5",0.562529972194077
"SERPINA6",0.56146639007681
"CFHR1",0.542424985368347
"HRG",0.525217931907909
"APOA1",0.50399697504999
"AHSG",0.500957270762334
"F10",0.485634814924679
"GP1BA",0.484041312292441
"DBH",0.427798380578593
"MBL2",0.385174232355231
"C1RL",0.349907515514037
"MST1",0.337148051342706
"SEPP1",0.329200005583052
"AZGP1",0.284396663788669
"TGFBI",0.236800230503397
"APOD",0.229258599377981
"SERPINA1",0.211280119400215
"CFHR2",0.194033128810616
"AGT",0.142596307476532
"C2",0.118357357070731
"APOB",0.103206804528929
